"고유번호","녹지대ID","녹지대명","주소한글","녹지대분류","녹지대조성년도","녹지대면적","조경량","구명","구코드","X 좌표","Y 좌표"
"1895","0","성산로(마포구청주변)","","수벽","0","500.00000000","0E-8","마포구","440","191998.016","451701.854"
"1874","0","이대역조경녹지대","대흥동 2-1,2-6,2-59,2-58,","지하철환기구","0","1027.00000000","0E-8","마포구","440","195254.023","450773.633"
"1815","0","둔촌동 로타리 녹지","둔촌동522외 7필지","광장녹지","0","2830.00000000","0E-8","강동구","740","211807.604","446937.346"
"1978","0","영등포ic","","도로변녹지","0","16145.00000000","0E-8","영등포구","560","192425.726","446642.811"
"1976","0","올림픽로 분리대","","중앙분리대","0","0E-8","0E-8","송파구","710","209298.502","446169.562"
"1983","0","세곡동녹지대","세곡동","가로녹지대","0","23392.00000000","0E-8","강남구","680","209772.128","440761.285"
"1987","0","세곡동녹지대","세곡동","가로녹지대","0","23392.00000000","0E-8","강남구","680","209532.533","440631.228"
"1988","0","영동대로분리대","","분리녹지대","0","8971.00000000","0E-8","강남구","680","204986.076","446867.594"
"1990","0","상계5 마을마당","","휴게소","0","455.00000000","1161.00000000","노원구","350","206243.142","462674.198"
"1993","0","푸른거리(홍대입구-성모병","","도로변녹지","0","667.00000000","0E-8","마포구","440","193018.423","450701.466"
"1995","0","대방천수림대","신길3동외","기타","0","6720.00000000","0E-8","영등포구","560","191099.723","444976.342"
"1998","0","행당동97-31","행당동97-31","기타","0","30.00000000","0E-8","성동구","200","203469.155","450644.647"
"1756","0","증권단지옆녹지대","","광장녹지","0","9250.00000000","0E-8","영등포구","560","193137.118","447064.09"
"1758","0","강남역로타리","역삼동","광장녹지","0","900.00000000","0E-8","서초구","650","202395.79","444295.946"
"1761","0","방학동 가로공원","방학3동 498-18외","도로변녹지","1998","4600.00000000","11976.00000000","도봉구","320","202310.261","462159.317"
"1763","0","서소문별관녹지대","중구 태평로 1가 31","","0","2805.00000000","1212.00000000","중구","140","197833.138","451667.095"
"1764","0","","","","0","0E-8","0E-8","송파구","710","210333.835","446325.671"
"1992","0","합정쉼터","","간이휴게소","0","200.00000000","0E-8","마포구","440","192376.605","449463.39"
"1757","0","봉천복개로","","노변분리","0","9489.00000000","0E-8","관악구","620","194573.163","442794.885"
"1759","0","서초ic녹지대","서초동","광장녹지","0","41580.00000000","0E-8","서초구","650","202258.671","442606.307"
"1766","0","세곡동녹지대","세곡동","가로녹지대","0","23392.00000000","0E-8","강남구","680","209537.383","440671.57"
"1768","0","합정로변 푸른거리","2003.하반기 완공예정","","0","0E-8","0E-8","마포구","440","191968.743","450827.994"
"1982","0","서초ic녹지대","서초동","광장녹지","0","41580.00000000","0E-8","서초구","650","202201.204","442739.408"
"1989","0","종로선3개소","","지하철환기구주변","0","292.00000000","2743.00000000","종로구","110","200148.597","452358.937"
"1754","0","남산3호터널입구분리대","3호터널입구","중앙분리대","0","491.00000000","1230.00000000","중구","140","198522.666","450868.919"
"1760","0","강남대로중앙분리대","양재사거리~매헌길입구","중앙분리대","0","7200.00000000","0E-8","서초구","650","203431.788","441328.63"
"1996","0","시흥I.C녹지대","","도로변녹지","0","8230.00000000","0E-8","구로구","530","190895.065","442175.744"
"1769","0","성산로(마포구청맞은편)","","수벽","0","550.00000000","0E-8","마포구","440","192033.832","451757.4"
"1770","0","공단역앞녹지","","도로변녹지","0","385.00000000","0E-8","구로구","530","191221.104","442862.949"
"1772","0","시흥I.C 녹지","독산동 141번지 8호외 4필","광장녹지","1980","16450.00000000","0E-8","금천구","540","190999.018","442110.622"
"1776","0","순복음교회앞","여의도동1-2","노변분리대","0","1113.00000000","0E-8","영등포구","560","193183.359","447846.905"
"1778","0","선사주거지앞 녹지","선사초등-점마을","광장녹지","0","1050.00000000","0E-8","강동구","740","211636.689","451235.999"
"1779","0","암사동휴식광장","암사동421-105","간이휴게소","0","129.00000000","0E-8","강동구","740","212461.218","450150.705"
"1783","0","용산선철로연변","","수림대","0","48537.00000000","0E-8","마포구","440","193389.575","451069.005"
"1785","0","신수동휴게실","신수동 91번지 주변(도로옆","","0","150.00000000","0E-8","마포구","440","194358.898","450032.181"
"1788","0","여의도","","수림대","0","2000.00000000","0E-8","영등포구","560","193493.102","446453.886"
"1791","0","구청사","","공공건물","0","500.00000000","2914.00000000","성북구","290","201410.04","454454.842"
"1793","0","신월I.C","신월동839","일반녹지","0","36230.00000000","0E-8","양천구","470","185540.91","447271.211"
"1794","0","올림픽로 분리대","","중앙분리대","0","0E-8","0E-8","송파구","710","208983.739","446034.432"
"1796","0","탄천제방수림대","","수림대","0","72000.00000000","0E-8","송파구","710","209603.147","443420.099"
"1789","0","한남대교녹지대","신사동","가로녹지대","0","11659.00000000","0E-8","강남구","680","201605.824","446995.238"
"1795","0","","","","0","0E-8","0E-8","송파구","710","211686.086","445678.358"
"1800","0","푸른거리(홍대입구-성모병","","도로변녹지","0","667.00000000","0E-8","마포구","440","192272.534","451680.659"
"1710","0","군자교녹지대","장안동 467","광장녹지","0","3550.00000000","2850.00000000","동대문구","230","206190.678","451278.69"
"1714","0","가로공원분리","신월동263","분리녹지","0","9179.00000000","0E-8","양천구","470","185392.604","448603.769"
"2118","0","마을마당","수유5동386-1","휴게소","0","260.00000000","1343.00000000","강북구","300","201489.044","460063.924"
"2119","0","목동교통광장","목동 812-6","일반녹지","0","1100.00000000","0E-8","양천구","470","187945.257","447788.321"
"2122","0","위례성길 분리대","","","0","0E-8","0E-8","송파구","710","211554.075","445701.72"
"2124","0","면목6거리 녹지대","면목동 130","도로변녹지","0","687.00000000","1557.00000000","중랑구","260","207673.013","454812.133"
"2125","0","경의선철도연변","창천동","기타","1999","15000.00000000","0E-8","서대문구","410","194492.658","451099.341"
"2127","0","자투리녹지(녹번동)","녹번동62-14","자투리녹지","0","132.00000000","740.00000000","은평구","380","194412.634","455675.137"
"2128","0","길동 로타리 녹지","천호대로 길동사거리","광장녹지","0","550.00000000","0E-8","강동구","740","212273.995","448299.403"
"2131","0","성수중학교 뒤","성수1가 2동 685","도로변녹지","0","275.00000000","0E-8","성동구","200","203290.595","449742.695"
"2133","0","백제고분로 분리대","","중앙분리대","0","14022.00000000","0E-8","송파구","710","206829.827","446345.603"
"2135","0","신설동 교통섬","신설동 실설동로터리","광장녹지","0","152.00000000","54.00000000","동대문구","230","202083.306","452890.876"
